文件：C:/提示词/工作区/字替对照-0909/variantF/main.pdf
拉伸异常行 = 77（空档 104 处）
  p1 y=57.0 [CJK-CJK] '章'→'空' 20.59pt/7.265mm (限10.3)
  p1 y=175.2 [CJK-CJK] '时'→'空' 12.95pt/4.569mm (限6.48)
  p1 y=219.8 [CJK-西文] '.'→'理' 10.46pt/3.691mm (限5.23)
  p1 y=253.7 [CJK-西文] '.'→'掌' 10.46pt/3.691mm (限5.23)
  p1 y=270.6 [CJK-西文] '.'→'掌' 10.46pt/3.691mm (限5.23)
  p1 y=321.0 [CJK-西文] '◆'→'知' 6.8pt/2.4mm (限4.28)
  p1 y=321.0 [CJK-CJK] '一'→'空' 11.99pt/4.228mm (限5.99)
  p1 y=341.8 [CJK-西文] '.'→'定' 8.47pt/2.987mm (限5.03)
  p1 y=488.9 [CJK-CJK] '的'→'直' 5.47pt/1.93mm (限5.23)
  p1 y=488.9 [CJK-CJK] '直'→'线' 5.47pt/1.93mm (限5.23)
  p1 y=559.8 [CJK-西文] '.'→'几' 8.47pt/2.987mm (限5.03)
  p1 y=594.0 [CJK-CJK] '，'→'则' 9.64pt/3.401mm (限5.03)
  p1 y=612.0 [CJK-西文] '．'→'(' 193.22pt/68.163mm (限5.03)
  p1 y=629.9 [CJK-西文] ']'→'模' 5.03pt/1.773mm (限5.03)
  p1 y=665.8 [CJK-西文] '．'→'(' 68.83pt/24.281mm (限5.03)
  p1 y=683.7 [CJK-西文] ']'→'相' 5.03pt/1.773mm (限5.03)
  p1 y=799.5 [CJK-CJK] '章'→'空' 5.22pt/1.842mm (限2.61)
  p1 y=799.5 [CJK-CJK] '何'→'导' 5.22pt/1.842mm (限2.61)
  p2 y=55.3 [CJK-西文] '◆'→'知' 6.8pt/2.4mm (限4.28)
  p2 y=55.3 [CJK-CJK] '二'→'空' 11.99pt/4.228mm (限5.99)
  p2 y=56.7 [CJK-西文] '.'→'数' 8.47pt/2.987mm (限5.03)
  p2 y=76.9 [CJK-西文] '.'→'加' 8.47pt/2.987mm (限5.03)
  p2 y=165.3 [CJK-西文] '.'→'投' 8.47pt/2.987mm (限5.03)
  p2 y=203.4 [CJK-西文] '.'→'共' 8.47pt/2.987mm (限5.03)
  p2 y=450.3 [CJK-西文] '.'→'共' 8.47pt/2.987mm (限5.03)
  p2 y=527.1 [CJK-西文] '．'→'(' 84.91pt/29.956mm (限5.03)
  p2 y=580.9 [CJK-西文] '．'→'(' 13.58pt/4.79mm (限5.03)
  p2 y=598.8 [CJK-西文] ']'→'缺' 5.03pt/1.773mm (限5.03)
  p2 y=621.1 [CJK-西文] '◆'→'知' 6.8pt/2.4mm (限4.28)
  p2 y=621.1 [CJK-CJK] '三'→'空' 11.99pt/4.228mm (限5.99)
  p2 y=660.7 [CJK-西文] '.'→'夹' 8.47pt/2.987mm (限5.03)
  p2 y=799.6 [CJK-CJK] '学'→'选' 5.22pt/1.842mm (限2.61)
  p3 y=75.9 [CJK-西文] '．'→'(' 7.74pt/2.73mm (限5.03)
  p3 y=75.9 [CJK-西文] '◆'→'探' 6.8pt/2.4mm (限4.28)
  p3 y=75.9 [CJK-CJK] '二'→'空' 23.97pt/8.456mm (限5.99)
  p3 y=99.9 [CJK-西文] ']'→'在' 6.24pt/2.2mm (限5.23)
  p3 y=148.5 [CJK-西文] '．'→'(' 126.87pt/44.757mm (限5.03)
  p3 y=236.0 [CJK-CJK] '究'→'素' 6.48pt/2.284mm (限3.24)
  p3 y=251.8 [CJK-西文] '◆'→'探' 6.8pt/2.4mm (限4.28)
  p3 y=251.8 [CJK-CJK] '一'→'空' 23.97pt/8.456mm (限5.99)
  p3 y=275.8 [CJK-西文] ']'→'下' 6.24pt/2.2mm (限5.23)
  p3 y=357.9 [CJK-西文] ']'→'在' 6.24pt/2.2mm (限5.23)
  p3 y=377.3 [CJK-西文] '1'→'中' 8.32pt/2.936mm (限3.52)
  p3 y=532.8 [CJK-西文] ']'→'下' 6.24pt/2.2mm (限5.23)
  p3 y=584.7 [CJK-西文] '◆'→'探' 6.8pt/2.4mm (限4.28)
  p3 y=584.7 [CJK-CJK] '三'→'用' 23.97pt/8.456mm (限5.99)
  p3 y=799.5 [CJK-CJK] '章'→'空' 5.22pt/1.842mm (限2.61)
  p3 y=799.5 [CJK-CJK] '何'→'导' 5.22pt/1.842mm (限2.61)
  p4 y=55.3 [CJK-西文] ']'→'在' 6.24pt/2.2mm (限5.23)
  p4 y=73.6 [CJK-西文] '1'→'中' 3.74pt/1.32mm (限3.52)
  p4 y=73.6 [CJK-西文] '1'→'上' 3.74pt/1.32mm (限3.52)
  p4 y=201.4 [CJK-西文] '◆'→'探' 6.8pt/2.4mm (限4.28)
  p4 y=201.4 [CJK-CJK] '五'→'数' 23.97pt/8.456mm (限5.99)
  p4 y=225.4 [CJK-西文] ']'→'设' 6.24pt/2.2mm (限5.23)
  p4 y=317.5 [CJK-西文] '◆'→'探' 6.8pt/2.4mm (限4.28)
  p4 y=317.5 [CJK-CJK] '四'→'共' 23.97pt/8.456mm (限5.99)
  p4 y=341.9 [CJK-西文] ']'→'有' 6.24pt/2.2mm (限5.23)
  p4 y=433.8 [CJK-西文] '；'→'B' 39.32pt/13.872mm (限5.23)
  p4 y=452.7 [CJK-西文] '；'→'D' 62.91pt/22.194mm (限5.23)
  p4 y=518.3 [CJK-西文] '单'→'(' 6.28pt/2.214mm (限5.23)
  p4 y=518.3 [CJK-西文] ']'→'已' 6.24pt/2.2mm (限5.23)
  p4 y=518.3 [CJK-西文] '知'→'|' 6.03pt/2.128mm (限5.03)
  p4 y=561.1 [CJK-西文] ']'→'已' 6.24pt/2.2mm (限5.23)
  p4 y=598.5 [CJK-西文] ']'→'共' 5.03pt/1.773mm (限5.03)
  p4 y=799.6 [CJK-CJK] '学'→'选' 5.22pt/1.842mm (限2.61)
  p5 y=55.3 [CJK-西文] '◆'→'探' 6.8pt/2.4mm (限4.28)
  p5 y=55.3 [CJK-CJK] '六'→'数' 23.97pt/8.456mm (限5.99)
  p5 y=375.6 [CJK-西文] ']'→'已' 6.24pt/2.2mm (限5.23)
  p5 y=438.4 [CJK-西文] '档'→'(' 8.14pt/2.87mm (限5.23)
  p5 y=438.4 [CJK-西文] ']'→'在' 6.24pt/2.2mm (限5.23)
  p5 y=457.9 [CJK-西文] '1'→'中' 3.76pt/1.325mm (限3.52)
  p5 y=620.4 [CJK-西文] '◆'→'探' 6.8pt/2.4mm (限4.28)
  p5 y=620.4 [CJK-CJK] '八'→'数' 23.97pt/8.456mm (限5.99)
  p5 y=701.1 [CJK-西文] '◆'→'探' 6.8pt/2.4mm (限4.28)
  p5 y=701.1 [CJK-CJK] '七'→'数' 23.97pt/8.456mm (限5.99)
  p5 y=712.0 [CJK-西文] '是'→'(' 50.83pt/17.932mm (限5.03)
