序号	段序号	段文本前20字	段内图数	锚形态	显示宽cm	显示高cm	像素宽	像素高	150dpi自然宽cm	媒体文件	①版心超限	②并排超限	③放大超限	④过小过目
1	55	(空段)	1	inline	8.60	4.27	1094	544	18.52	image2.png	0	0	0	0
2	63	(空段)	1	inline	7.69	6.46	810	686	13.71	image3.png	0	0	0	0
3	87	(空段)	1	inline	8.60	2.94	1359	468	23.01	image5.png	0	0	0	0
4	103	(空段)	1	inline	8.60	2.28	1408	374	23.84	image6.png	0	0	0	0
5	142	(空段)	1	inline	8.60	8.16	926	882	15.68	image7.png	0	0	0	0
6	148	(空段)	1	inline	5.57	5.31	737	706	12.48	image8.png	0	0	0	0
7	170	(空段)	1	inline	8.19	3.32	1127	464	19.08	image9.png	0	0	0	0
8	174	(空段)	1	inline	7.97	4.34	471	257	7.97	image4.png	0	0	0	0
9	179	(空段)	1	inline	5.72	6.18	911	992	15.42	image10.png	0	0	0	0
10	194	(空段)	1	inline	8.60	4.60	1284	687	21.74	image11.png	0	0	0	0
11	246	(空段)	1	inline	4.39	3.62	181	149	3.06	image15.png	0	0	1	1
12	256	(空段)	1	inline	7.62	6.07	1131	904	19.15	image12.png	0	0	0	0
13	260	(空段)	1	inline	7.82	4.75	462	283	7.82	image13.png	0	0	0	0
14	263	(空段)	1	inline	8.60	7.54	1334	1175	22.59	image14.png	0	0	0	0
15	286	(空段)	1	inline	8.60	4.33	592	298	10.02	image16.png	0	0	0	0
16	294	(空段)	1	inline	8.60	8.08	611	1089	10.35	image17.jpg	0	0	0	0
17	301	(空段)	1	inline	5.08	9.00	467	828	7.91	image18.jpg	0	0	0	0
18	332	(空段)	2	inline	7.77	2.14	459	127	7.77	image19.png	0	0	0	0
19	332	(空段)	2	inline	2.17	2.67	117	144	1.98	image20.png	0	0	1	1
20	369	（2）公式法：底面圆半径为，圆锥的高为，	1	inline	0.29	0.29	24	27	0.41	image21.png	0	0	0	1
21	370	(空段)	1	inline	8.60	2.91	1892	641	32.04	image22.png	0	0	0	0
22	379	(空段)	1	inline	8.60	2.93	1211	412	20.50	image23.png	0	0	0	0
23	382	(空段)	1	inline	8.60	2.57	1895	564	32.09	image24.png	0	0	0	0
24	386	(空段)	1	inline	4.60	4.29	181	168	3.06	image25.png	0	0	1	1
